Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      400     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.00     0.00      100     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.00     0.00      100     0.00     0.00  std::function<double (double, double)>::operator()(double, double) const
  0.00      0.00     0.00      100     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.00     0.00      100     0.00     0.00  main::{lambda(double, double)#1} const& std::_Any_data::_M_access<main::{lambda(double, double)#1}>() const
  0.00      0.00     0.00      100     0.00     0.00  std::_Function_base::_Base_manager<main::{lambda(double, double)#1}>::_M_get_pointer(std::_Any_data const&)
  0.00      0.00     0.00      100     0.00     0.00  std::_Function_handler<double (double, double), main::{lambda(double, double)#1}>::_M_invoke(std::_Any_data const&, double&&, std::_Any_data const&)
  0.00      0.00     0.00      100     0.00     0.00  main::{lambda(double, double)#1} const* std::__addressof<main::{lambda(double, double)#1} const>(main::{lambda(double, double)#1} const&)
  0.00      0.00     0.00      100     0.00     0.00  main::{lambda(double, double)#1}::operator()(double, double) const
  0.00      0.00     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.00     0.00       62     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.00     0.00       60     0.00     0.00  std::isnan(double)
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator-(long) const
  0.00      0.00     0.00       40     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      0.00     0.00       40     0.00     0.00  std::vector<double, std::allocator<double> >::back()
  0.00      0.00     0.00       40     0.00     0.00  ImplicitEuler::Newton(std::function<double (double, double)> const&, double, double, double)::{lambda(double, double, double, std::function<double (double, double)> const&)#2}::operator()(double, double, double, std::function<double (double, double)> const&) const
  0.00      0.00     0.00       20     0.00     0.00  ImplicitEuler::Newton(std::function<double (double, double)> const&, double, double, double)
  0.00      0.00     0.00       20     0.00     0.00  std::isinf(double)
  0.00      0.00     0.00       20     0.00     0.00  ImplicitEuler::Newton(std::function<double (double, double)> const&, double, double, double)::{lambda(double, double, double, double, std::function<double (double, double)> const&)#1}::operator()(double, double, double, double, std::function<double (double, double)> const&) const
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
